tracker_id,date,geography
17309325,2019-01-23 15:16:41+03:00,0101000020E6100000B4DDF11F13F94540C626FA7F23264C40
17309325,2019-01-23 15:16:44+03:00,0101000020E610000058F0D39F1AF945407936F95F26264C40
17309325,2019-01-23 15:16:45+03:00,0101000020E610000010EFBD9F21F945409411ECFF29264C40
17309325,2019-01-23 15:16:52+03:00,0101000020E6100000FFE5D59F36F945404E2DE0FF35264C40
17309325,2019-01-23 15:16:54+03:00,0101000020E6100000B409FE5F3FF94540792BDB1F39264C40
17309325,2019-01-23 15:16:56+03:00,0101000020E6100000F911B85F49F94540FA39E09F3B264C40
17309325,2019-01-23 15:16:58+03:00,0101000020E61000009DE1B97F54F945402D32F9DF3C264C40
17309325,2019-01-23 15:17:00+03:00,0101000020E610000057FDAD7F60F94540A520F51F3D264C40
17309325,2019-01-23 15:17:35+03:00,0101000020E6100000710FD67F55FA45405F33F33F3D264C40
17309325,2019-01-23 15:18:00+03:00,0101000020E61000007509EABF1EFB45405F33F33F3D264C40
17309325,2019-01-23 15:18:29+03:00,0101000020E6100000A20EBE3F24FC4540A520F51F3D264C40
17309325,2019-01-23 15:18:31+03:00,0101000020E61000006C0ADA5F33FC4540C838E63F3B264C40
17309325,2019-01-23 15:18:33+03:00,0101000020E61000006BE2B11F41FC45402B15EFDF37264C40
17309325,2019-01-23 15:18:36+03:00,0101000020E6100000370FEC5F4EFC45408828F87F34264C40
17309325,2019-01-23 15:18:37+03:00,0101000020E61000001409D23F5BFC45408F2BF7BF31264C40
17309325,2019-01-23 15:18:38+03:00,0101000020E61000009B06C2DF61FC45408D34D8DF30264C40
17309325,2019-01-23 15:18:39+03:00,0101000020E6100000DB16B09F68FC4540EA0DE23F30264C40
17309325,2019-01-23 15:18:40+03:00,0101000020E6100000E6EAF75F6FFC45402A32E41F30264C40
17309325,2019-01-23 15:18:41+03:00,0101000020E6100000AE0CEADF75FC4540EA0DE23F30264C40
17309325,2019-01-23 15:18:42+03:00,0101000020E61000000309E01F7CFC45408D34D8DF30264C40
17309325,2019-01-23 15:18:43+03:00,0101000020E61000002704DCFF81FC45408F2BF7BF31264C40
17309325,2019-01-23 15:18:44+03:00,0101000020E610000092ECD9BF87FC45406B1CE7BF32264C40
17309325,2019-01-23 15:18:46+03:00,0101000020E6100000FFF1E17F92FC45400740DE1F36264C40
17309325,2019-01-23 15:18:47+03:00,0101000020E610000047FCED5F97FC45405D16E93F38264C40
17309325,2019-01-23 15:18:48+03:00,0101000020E61000005E0500E09BFC45402512F09F3A264C40
17309325,2019-01-23 15:18:49+03:00,0101000020E61000000DEDC1BF9FFC45405F33F33F3D264C40
17309325,2019-01-23 15:18:50+03:00,0101000020E61000008FF2E51FA3FC45405830F4FF3F264C40
17309325,2019-01-23 15:18:51+03:00,0101000020E6100000A30DBADFA5FC4540832EEF1F43264C40
17309325,2019-01-23 15:18:52+03:00,0101000020E6100000D8FCF1FFA7FC4540663FE85F46264C40
17309325,2019-01-23 15:18:53+03:00,0101000020E61000005714D89FA9FC45405119E19F49264C40
17309325,2019-01-23 15:18:55+03:00,0101000020E61000006406C2FFAAFC4540E830F89F50264C40
17309325,2019-01-23 15:18:56+03:00,0101000020E6100000EC17C6BFAAFC45404530ED1F54264C40
17309325,2019-01-23 15:18:58+03:00,0101000020E61000003BFFE5BFA8FC4540FD2ED71F5B264C40
17309325,2019-01-23 15:18:59+03:00,0101000020E61000000610AE9FA6FC4540C621FD5F5E264C40
17309325,2019-01-23 15:19:00+03:00,0101000020E6100000AB07D8FFA3FC4540AA32F69F61264C40
17309325,2019-01-23 15:19:01+03:00,0101000020E61000002902B49FA0FC4540EA1CF93F64264C40
