,0_x,1,2,0_y
343560,18308412,2019-04-04 09:51:06+03:00,0101000020E610000066752188C2844340988D92BB96844640,2
343561,18308412,2019-04-04 09:51:16+03:00,0101000020E6100000C16A117AC2844340988D92BB96844640,2
343562,18308412,2019-04-04 09:51:25+03:00,0101000020E6100000DA7FA330B6844340959FEACD95844640,2
343563,18308412,2019-04-04 09:51:27+03:00,0101000020E6100000B87B119AB18443409B98FE4195844640,2
343564,18308412,2019-04-04 09:51:28+03:00,0101000020E6100000646CE540AF844340B29815E094844640,2
343565,18308412,2019-04-04 09:51:29+03:00,0101000020E61000003B828F11AD844340AF7A597E94844640,2
343566,18308412,2019-04-04 09:51:30+03:00,0101000020E61000008F9B2F28AB8443401889A4AC93844640,2
343567,18308412,2019-04-04 09:51:31+03:00,0101000020E61000003E7AABBCA98443409897067992844640,2
343568,18308412,2019-04-04 09:51:32+03:00,0101000020E6100000327533F9A8844340A16B72FF90844640,2
343569,18308412,2019-04-04 09:51:33+03:00,0101000020E61000005A7C4DC1A8844340AC96254E8F844640,2
343570,18308412,2019-04-04 09:51:34+03:00,0101000020E61000005E9A0923A98443404A6E9EB88D844640,2
343571,18308412,2019-04-04 09:51:35+03:00,0101000020E6100000898FCBD8A98443401B8B34158C844640,2
343572,18308412,2019-04-04 09:51:36+03:00,0101000020E61000000F7A7D80AA844340E169C7478A844640,2
343573,18308412,2019-04-04 09:51:38+03:00,0101000020E6100000DA803BD0AB84434098854E3D86844640,2
343574,18308412,2019-04-04 09:51:42+03:00,0101000020E61000003E7037FFAD8443404778B24C7C844640,2
343575,18308412,2019-04-04 09:51:52+03:00,0101000020E6100000679DF17DB1844340ED858A395D844640,2
343576,18308412,2019-04-04 09:51:55+03:00,0101000020E6100000DD8A0FB7B48443402075F80253844640,2
343577,18308412,2019-04-04 09:52:05+03:00,0101000020E6100000666C456ABC844340D79347D72F844640,2
343578,18308412,2019-04-04 09:52:07+03:00,0101000020E61000006391ED57BD844340F2782A452A844640,2
343579,18308412,2019-04-04 09:52:10+03:00,0101000020E6100000DD897717BF84434032777F8D23844640,2
343580,18308412,2019-04-04 09:52:19+03:00,0101000020E6100000BB71FD05C3844340077A795912844640,2
343581,18308412,2019-04-04 09:52:20+03:00,0101000020E61000003775F34BC3844340A996E17911844640,2
343582,18308412,2019-04-04 09:52:22+03:00,0101000020E61000005A83F99FC38443402F6E434610844640,2
343583,18308412,2019-04-04 09:52:23+03:00,0101000020E61000003B93AFADC3844340DB7167C80F844640,2
343584,18308412,2019-04-04 09:52:33+03:00,0101000020E61000008C71CFC9C38443408487E35C0E844640,2
343585,18308412,2019-04-04 09:52:43+03:00,0101000020E61000008678BB55C4844340C18D1CFA0A844640,2
343586,18308412,2019-04-04 09:52:53+03:00,0101000020E6100000157A3DD3C484434081905F5107844640,2
343587,18308412,2019-04-04 09:52:55+03:00,0101000020E610000037884327C5844340B0908D8D06844640,2
343588,18308412,2019-04-04 09:52:56+03:00,0101000020E6100000AE9225F9C58443409B6BCE0106844640,2
343589,18308412,2019-04-04 09:52:57+03:00,0101000020E6100000E68C5F72C7844340817D0F7605844640,2
343590,18308412,2019-04-04 09:52:58+03:00,0101000020E6100000E69FAF4DC9844340A984293E05844640,2
343591,18308412,2019-04-04 09:52:59+03:00,0101000020E6100000BA8D29FFCA84434070760C4C05844640,2
343592,18308412,2019-04-04 09:53:00+03:00,0101000020E6100000B782BD78CC844340817D0F7605844640,2
343593,18308412,2019-04-04 09:53:02+03:00,0101000020E6100000BA83B541CF8443405876F5AD05844640,2
343594,18308412,2019-04-04 09:53:03+03:00,0101000020E61000003D930FD7D0844340849BCBD705844640,2
343595,18308412,2019-07-13 22:06:17+03:00,0101000020E61000003A6A4718DF84434021793C2C9A844640,3
343596,18308412,2019-07-13 22:06:21+03:00,0101000020E61000000E896DDDD58443408A87875A99844640,3
343597,18308412,2019-07-13 22:06:22+03:00,0101000020E6100000598B3D1ED48443405899B13099844640,3
343598,18308412,2019-07-13 22:06:26+03:00,0101000020E61000005A95B1DBCF8443408769CBF898844640,3
343599,18308412,2019-07-13 22:06:27+03:00,0101000020E61000001579A533CF8443401B6DD8DC98844640,3
343600,18308412,2019-07-13 22:06:31+03:00,0101000020E61000001278AD6ACC844340039DD5B298844640,3
343601,18308412,2019-07-13 22:06:41+03:00,0101000020E6100000DA7FA330B6844340AF8DA95996844640,3
343602,18308412,2019-07-13 22:06:45+03:00,0101000020E61000000676FD85AC844340DB6F1B3495844640,3
